config,model,threshold,mae,mae_std,rmse,coverage,coverage_std
CNN-only (t=0.6),cnn,0.6,8.20,0.57,15.82,0.425,0.031
CNN-only (t=0.65),cnn,0.65,4.91,0.81,6.90,0.234,0.049
CNN-only (t=0.7),cnn,0.7,4.09,0.38,5.72,0.149,0.071
CNN-only (t=0.75),cnn,0.75,3.22,1.58,3.39,0.011,0.006
HGB-only (t=0.6),hgb,0.6,7.53,0.39,17.19,0.417,0.040
HGB-only (t=0.65),hgb,0.65,4.19,0.56,7.54,0.229,0.040
HGB-only (t=0.7),hgb,0.7,4.17,0.73,8.03,0.160,0.050
HGB-only (t=0.75),hgb,0.75,1.62,0.88,2.19,0.017,0.015
LSTM-only (t=0.6),lstm,0.6,6.84,0.58,11.15,0.411,0.049
LSTM-only (t=0.65),lstm,0.65,4.95,0.79,6.52,0.229,0.015
LSTM-only (t=0.7),lstm,0.7,4.74,1.04,6.23,0.145,0.038
LSTM-only (t=0.75),lstm,0.75,1.56,1.39,2.08,0.015,0.016
