config,metric,scale,threshold,mae,mae_std,rmse,coverage,coverage_std
mad/s=2/t=0.65,mad,2,0.65,6.91,1.76,11.60,0.139,0.039
mad/s=2/t=0.7,mad,2,0.7,6.60,0.88,11.10,0.130,0.036
mad/s=2/t=0.75,mad,2,0.75,5.55,0.83,9.50,0.105,0.028
mad/s=3/t=0.65,mad,3,0.65,6.84,1.82,11.52,0.141,0.038
mad/s=3/t=0.7,mad,3,0.7,6.60,0.88,11.10,0.130,0.036
mad/s=3/t=0.75,mad,3,0.75,5.55,0.83,9.50,0.105,0.028
mad/s=5/t=0.65,mad,5,0.65,6.00,1.90,10.30,0.192,0.037
mad/s=5/t=0.7,mad,5,0.7,6.51,0.91,11.00,0.131,0.035
mad/s=5/t=0.75,mad,5,0.75,5.55,0.83,9.50,0.105,0.028
mad/s=8/t=0.65,mad,8,0.65,6.19,2.16,10.25,0.253,0.024
mad/s=8/t=0.7,mad,8,0.7,6.04,1.16,10.16,0.162,0.043
mad/s=8/t=0.75,mad,8,0.75,5.55,0.83,9.50,0.105,0.028
mad/s=10/t=0.65,mad,10,0.65,6.12,1.88,10.03,0.282,0.041
mad/s=10/t=0.7,mad,10,0.7,5.68,1.24,9.76,0.185,0.037
mad/s=10/t=0.75,mad,10,0.75,5.44,0.69,9.37,0.107,0.027
std/s=5/t=0.65,std,5,0.65,2.74,0.81,3.52,0.063,0.017
std/s=5/t=0.7,std,5,0.7,1.00,1.00,1.18,0.013,0.013
std/s=5/t=0.75,std,5,0.75,1.00,0.00,1.00,0.004,0.003
std/s=8/t=0.65,std,8,0.65,4.49,0.56,9.12,0.128,0.014
std/s=8/t=0.7,std,8,0.7,2.55,0.68,3.28,0.044,0.016
std/s=8/t=0.75,std,8,0.75,1.00,0.00,1.00,0.006,0.006
std/s=10/t=0.65,std,10,0.65,4.36,0.71,8.76,0.152,0.012
std/s=10/t=0.7,std,10,0.7,2.58,0.69,3.36,0.069,0.015
std/s=10/t=0.75,std,10,0.75,0.67,0.58,0.67,0.010,0.007
std/s=15/t=0.65,std,15,0.65,4.73,0.98,8.17,0.225,0.009
std/s=15/t=0.7,std,15,0.7,2.97,0.06,4.25,0.109,0.025
std/s=15/t=0.75,std,15,0.75,2.13,0.73,2.71,0.027,0.014
std/s=20/t=0.65,std,20,0.65,5.12,0.65,8.43,0.276,0.033
std/s=20/t=0.7,std,20,0.7,4.23,0.57,8.64,0.149,0.006
std/s=20/t=0.75,std,20,0.75,2.49,1.07,3.13,0.050,0.016
range/s=10/t=0.65,range,10,0.65,2.56,0.79,3.43,0.051,0.015
range/s=10/t=0.7,range,10,0.7,1.00,1.00,1.22,0.011,0.010
range/s=10/t=0.75,range,10,0.75,1.00,0.00,1.00,0.004,0.003
range/s=15/t=0.65,range,15,0.65,3.55,1.18,6.45,0.091,0.011
range/s=15/t=0.7,range,15,0.7,2.93,1.29,3.66,0.036,0.020
range/s=15/t=0.75,range,15,0.75,1.00,0.00,1.00,0.004,0.003
range/s=20/t=0.65,range,20,0.65,4.35,0.79,8.95,0.137,0.010
range/s=20/t=0.7,range,20,0.7,2.53,0.85,3.40,0.055,0.020
range/s=20/t=0.75,range,20,0.75,0.67,0.58,0.67,0.010,0.007
range/s=25/t=0.65,range,25,0.65,4.53,0.89,8.58,0.171,0.011
range/s=25/t=0.7,range,25,0.7,2.66,0.43,3.49,0.082,0.017
range/s=25/t=0.75,range,25,0.75,0.67,0.58,0.67,0.010,0.007
range/s=30/t=0.65,range,30,0.65,4.63,0.76,8.30,0.202,0.016
range/s=30/t=0.7,range,30,0.7,2.70,0.35,3.59,0.091,0.010
range/s=30/t=0.75,range,30,0.75,0.60,0.53,0.63,0.013,0.013
